id,Names,Distance,Mass,Radius
131,"['U', 'L', 'A', 'S', ' ', 'J', '1', '4', '1', '6', '2', '3', '.', '9', '4', '+', '1', '3', '4', '8', '3', '6', '.', '3']","['2', '9', '.', '7']","['3', '2']","['0', '.', '9', '6']"
132,"['S', 'D', 'S', 'S', ' ', 'J', '1', '4', '1', '6', '5', '9', '.', '7', '8', '+', '5', '0', '0', '6', '2', '6', '.', '4', '\xa0', '[', 'd', 'e', ']']","['1', '4', '9']","['5', '9']","['0', '.', '9', '9']"
133,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '1', '4', '2', '5', '2', '7', '.', '9', '7', '-', '3', '6', '5', '0', '2', '3', '.', '4', '\xa0', '[', 'd', 'e', ']']","['3', '8']","['2', '1']","['1', '.', '3', '2']"
134,"['L', 'H', 'S', ' ', '2', '9', '2', '4']","['3', '8', '.', '5']","['7', '6']","['1', '.', '0', '6']"
135,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '4', '3', '9', '2', '8', '3', '7', '+', '1', '9', '2', '9', '1', '5', '0']","['4', '7']","['7', '2']","['1', '.', '0', '3']"
136,"['L', 'S', 'P', 'M', ' ', 'J', '1', '4', '4', '0', '+', '1', '3', '3', '9']","['7', '2']","['9', '2']","['1', '.', '1', '9']"
137,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '4', '4', '8', '2', '5', '6', '3', '+', '1', '0', '3', '1', '5', '9', '0', '\xa0', '[', 'd', 'e', ']']","['4', '7']","['5', '9']","['0', '.', '9', '9']"
138,"['C', 'F', 'B', 'D', 'S', 'I', 'R', ' ', '1', '4', '5', '8', '+', '1', '0', 'A']","['1', '0', '4']","['1', '1', '.', '1']","['1', '.', '5']"
139,"['C', 'F', 'B', 'D', 'S', 'I', 'R', ' ', '1', '4', '5', '8', '+', '1', '0', 'B']","['1', '0', '4']",['9'],"['1', '.', '3']"
140,"['T', 'V', 'L', 'M', ' ', '5', '1', '3', '-', '4', '6', '5', '4', '6']","['3', '5', '.', '1']","['7', '5']","['1', '.', '0', '5']"
141,"['2', 'M', 'A', 'S', 'S', ' ', '1', '5', '0', '3', '+', '2', '5', '2', '5']","['2', '0', '.', '7']","['4', '4']","['0', '.', '9', '4']"
142,"['C', 'F', 'B', 'D', 'S', ' ', 'J', '1', '5', '0', '4', '1', '1', '+', '1', '0', '2', '7', '1', '7']","['7', '1']","['4', '4']","['0', '.', '9', '4']"
143,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '5', '0', '6', '5', '4', '4', '+', '1', '3', '2', '1', '0', '6', '\xa0', '[', 'd', 'e', ']']","['4', '6']","['6', '9']","['1', '.', '0', '2']"
144,"['2', 'M', 'A', 'S', 'S', ' ', '1', '5', '0', '7', '−', '1', '6', '2', '7']","['2', '3', '.', '9']","['6', '0']","['0', '.', '9', '9']"
145,"['T', 'V', 'L', 'M', ' ', '8', '6', '8', '-', '1', '1', '0', '6', '3', '9']","['5', '3']","['7', '9']","['1', '.', '0', '8']"
146,"['S', 'D', 'S', 'S', ' ', 'J', '1', '5', '1', '1', '1', '4', '.', '6', '6', '+', '0', '6', '0', '7', '4', '2', '.', '9', '\xa0', '[', 'd', 'e', ']']","['8', '9']",[],[]
147,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '5', '1', '5', '0', '0', '8', '+', '4', '8', '4', '7', '4', '2', '\xa0', '[', 'd', 'e', ']']","['3', '4']","['5', '7']","['0', '.', '9', '9']"
148,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '1', '5', '2', '6', '1', '4', '0', '+', '2', '0', '4', '3', '4', '1', '\xa0', '[', 'd', 'e', ']']","['6', '7']","['5', '4']","['0', '.', '9', '8']"
149,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '1', '5', '3', '9', '4', '1', '.', '9', '6', '-', '0', '5', '2', '0', '4', '2', '.', '4', '\xa0', '[', 'd', 'e', ']']","['5', '1']","['6', '3']","['1', '.', '0', '0']"
150,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '5', '4', '6', '2', '7', '1', '8', '-', '3', '3', '2', '5', '1', '1', '1', '\xa0', '[', 'd', 'e', ']']","['3', '7']","['4', '4']","['0', '.', '9', '4']"
151,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '5', '5', '2', '5', '9', '1', '+', '2', '9', '4', '8', '4', '9', '\xa0', '[', 'd', 'e', ']']","['6', '8']","['3', '0']","['1', '.', '4', '3']"
152,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '5', '5', '5', '1', '5', '7', '-', '0', '9', '5', '6', '0', '5', '\xa0', '[', 'd', 'e', ']']","['4', '4']","['7', '1']","['1', '.', '0', '3']"
153,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '6', '1', '5', '0', '4', '1', '3', '+', '1', '3', '4', '0', '0', '7', '9', '\xa0', '[', 'd', 'e', ']']","['4', '8']","['4', '2']","['0', '.', '9', '4']"
154,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '1', '6', '2', '4', '1', '4', '.', '3', '7', '+', '0', '0', '2', '9', '1', '5', '.', '6', '\xa0', '[', 'd', 'e', ']']","['3', '6']","['4', '3']","['0', '.', '9', '4']"
155,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '6', '2', '6', '2', '0', '3', '4', '+', '3', '9', '2', '5', '1', '9', '0', '\xa0', '[', 'd', 'e', ']']","['1', '1', '0']","['7', '1']","['1', '.', '0', '3']"
156,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '6', '3', '2', '2', '9', '1', '+', '1', '9', '0', '4', '4', '1', '\xa0', '[', 'd', 'e', ']']","['5', '0']","['4', '9']","['0', '.', '9', '7']"
157,"['W', 'I', 'S', 'E', 'P', 'A', ' ', 'J', '1', '6', '4', '7', '1', '5', '.', '5', '9', '+', '5', '6', '3', '2', '0', '8', '.', '2']","['2', '8']","['4', '1']","['0', '.', '9', '4']"
158,"['L', 'S', 'P', 'M', ' ', 'J', '1', '6', '5', '8', '+', '7', '0', '2', '7', '\xa0', '[', 'd', 'e', ']']","['6', '0']","['7', '3']","['1', '.', '0', '4']"
159,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '1', '7', '2', '6', '0', '0', '0', '+', '1', '5', '3', '8', '1', '9']","['1', '1', '4']","['2', '4']","['1', '.', '4', '0']"
160,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '7', '2', '8', '1', '1', '4', '+', '3', '9', '4', '8', '5', '9']","['7', '9']",[],[]
161,"['S', 'D', 'S', 'S', 'p', ' ', 'J', '1', '7', '5', '0', '3', '2', '.', '9', '6', '+', '1', '7', '5', '9', '0', '3', '.', '9']","['9', '0']","['4', '7']","['0', '.', '9', '7']"
162,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '8', '2', '8', '3', '5', '7', '2', '-', '4', '8', '4', '9', '0', '4', '6']","['3', '9']","['4', '5']","['0', '.', '9', '5']"
163,"['L', 'S', 'R', ' ', 'J', '1', '8', '3', '5', '+', '3', '2', '5', '9']","['1', '8', '.', '5']","['7', '7']","['1', '.', '0', '7']"
164,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '8', '4', '1', '0', '8', '6', '+', '3', '1', '1', '7', '2', '7']","['1', '3', '8']","['6', '7']","['1', '.', '0', '1']"
165,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '8', '4', '3', '2', '2', '1', '3', '+', '4', '0', '4', '0', '2', '0', '9']","['4', '6']","['9', '6']","['1', '.', '2', '2']"
166,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '0', '0', '0', '4', '8', '4', '1', '-', '7', '5', '2', '3', '0', '7', '0']","['1', '0', '5']","['2', '5']","['1', '.', '8', '8']"
167,"['S', 'D', 'S', 'S', ' ', 'J', '2', '0', '4', '7', '4', '9', '.', '6', '1', '-', '0', '7', '1', '8', '1', '8', '.', '3']","['6', '5']","['4', '6']","['0', '.', '9', '6']"
168,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '2', '0', '5', '7', '5', '4', '0', '-', '0', '2', '5', '2', '3', '0']","['4', '7']","['7', '0']","['1', '.', '0', '2']"
169,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '2', '1', '0', '1', '1', '5', '4', '+', '1', '7', '5', '6', '5', '8']","['1', '0', '8']",[],[]
170,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '2', '1', '0', '4', '1', '4', '9', '-', '1', '0', '3', '7', '3', '6']","['6', '2']","['6', '9']","['1', '.', '0', '2']"
171,"['P', 'S', 'O', ' ', 'J', '3', '1', '8', '.', '5', '−', '2', '2']","['8', '0']","['6', '.', '5']","['1', '.', '5', '3']"
172,"['H', 'B', ' ', '2', '1', '2', '4', '-', '4', '2', '2', '8']","['1', '1', '3']","['9', '4']","['1', '.', '2', '1']"
173,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '1', '3', '9', '2', '6', '7', '6', '+', '0', '2', '2', '0', '2', '2', '6']","['3', '2', '.', '1']","['4', '6']","['0', '.', '9', '6']"
174,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '1', '4', '8', '1', '6', '2', '8', '+', '4', '0', '0', '3', '5', '9', '3']","['2', '6', '.', '3']","['5', '5']","['0', '.', '9', '9']"
175,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '4', '1', '1', '2', '1', '3', '1', '-', '2', '1', '1', '9', '5', '0', '3']",[],[],[]
176,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '2', '2', '0', '6', '4', '5', '0', '-', '4', '2', '1', '7', '2', '1']","['9', '3']","['2', '2']","['1', '.', '3', '3']"
177,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '2', '2', '0', '8', '1', '3', '6', '+', '2', '9', '2', '1', '2', '1']","['1', '5', '4']","['2', '7']","['1', '.', '4', '1']"
178,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '2', '2', '2', '4', '4', '3', '8', '-', '0', '1', '5', '8', '5', '2']","['3', '8']","['6', '1']","['0', '.', '9', '9']"
